track_id,week,task_title,source,query_or_title,url,focus_section,expected_student_output,status,checked_at,next_review_at,notes
mechanical-cae,1,제품 요구사항 분해,KOCW,기계요소설계 구조해석,http://www.kocw.net/home/search/search.do?query=%EA%B8%B0%EA%B3%84%EC%9A%94%EC%86%8C%EC%84%A4%EA%B3%84%20%EA%B5%AC%EC%A1%B0%ED%95%B4%EC%84%9D,하중과 부품 요구사항을 다루는 단원,요구사항 표와 부품 스케치 1쪽,candidate,2026-06-26,2026-07-26,강좌 상세 1개를 운영자가 최종 선택
production-quality,2,관리도와 Cpk 계산,KOCW,품질관리 SPC,http://www.kocw.net/home/search/search.do?query=%ED%92%88%EC%A7%88%EA%B4%80%EB%A6%AC%20SPC,관리도와 공정능력 단원,관리도 캡처와 Cpk 계산표,candidate,2026-06-26,2026-07-26,KOCW 직접 검색 URL 동작 확인
semiconductor-equipment,1,공정 흐름 매핑,KOCW,반도체공정,http://www.kocw.net/home/search/search.do?query=%EB%B0%98%EB%8F%84%EC%B2%B4%EA%B3%B5%EC%A0%95,산화 노광 식각 증착 CMP 개요,공정 흐름도와 불량 연결표,candidate,2026-06-26,2026-07-26,공정 흐름을 다루는 국내 강좌 후보 검수
electronics-pcb,2,센서 신호 증폭 회로,KOCW,전자회로 PCB,http://www.kocw.net/home/search/search.do?query=%EC%A0%84%EC%9E%90%ED%9A%8C%EB%A1%9C%20PCB,증폭 회로와 PCB 기초 단원,회로 블록도와 부품 선정표,candidate,2026-06-26,2026-07-26,회로 예제와 측정 과제를 함께 볼 것
embedded-control,2,UART 센서 프로토콜,KOCW,마이크로프로세서 제어공학,http://www.kocw.net/home/search/search.do?query=%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%ED%94%84%EB%A1%9C%EC%84%B8%EC%84%9C%20%EC%A0%9C%EC%96%B4%EA%B3%B5%ED%95%99,UART 또는 MCU 주변장치 단원,통신 프레임 정의와 샘플 로그,candidate,2026-06-26,2026-07-26,임베디드 강좌 후보를 세부 단원 기준으로 검수
all,0,한국어 공학 전공기초 후보 풀,K-MOOC,전공명 직무명,https://www.kmooc.kr/,강좌 목차에서 전공기초와 직무 과제가 만나는 단원 1-2개,직무 과제에 연결할 한국어 강좌와 볼 단원 기록,candidate,2026-06-29,2026-07-29,신규 트랙 한국어 접근성 보완용 후보 풀
all,0,NCS 직무능력·학습모듈 후보,NCS,직무명 NCS 학습모듈,https://www.ncs.go.kr/,능력단위와 수행준거가 로드맵 산출물과 맞는 부분,직무 요구역량-수행준거 매핑표,candidate,2026-06-29,2026-07-29,교육자료라기보다 직무 행동 기준 보강용
manufacturing-dx,1,제조 DX·데이터 기초 후보,Boostcourse,Python 데이터 AI 제조,https://www.boostcourse.org/,Python 데이터분석 AI 기초 중 실습 산출물이 있는 단원,CSV 분석 노트북 또는 데이터 용어 요약,candidate,2026-06-29,2026-07-29,한국어 IT·AI 실습형 후보
ai-engineering,1,AI·SW 기초 한국어 후보,엘리스,AI 데이터 Python 무료교육,https://elice.io/,Python AI 데이터분석 중 무료 공개 가능 과정의 실습 단원,모델 평가 메모 또는 실습 결과 캡처,candidate,2026-06-29,2026-07-29,무료 공개 범위 확인 필요
chemical-process,1,공정안전 한국어 보완 후보,KOSHA,공정안전 PSM HAZOP 교육자료,https://www.kosha.or.kr/,PSM HAZOP MSDS 위험성평가 관련 자료,위험요인-예방대책 체크리스트,candidate,2026-06-29,2026-07-29,화학·반도체 공정 안전 보완
